(क),,
कृत्-प्रत्यय,क्रिया,शब्द
वाला,गाना,गानेवाला
हार,होना,होनहार
इया,छलना,छलिया
,,
(ख),,
कृत्-प्रत्यय,धातु,शब्द
अक,कृ,कारक
अन,नी,नयन
ति,शक्,शक्ति
,,
(ग़),,
कृत्-प्रत्यय,क्रिया या धातु,शब्द (संज्ञा)
तव्य (संस्कृत),कृ,कर्तव्य
यत्,दा,देय
वैया (हिंदी),खेना-खे,खेवैया
अना (संस्कृत),विद्,वेदना
आ (संस्कृत),इश् (इच्छ्),इच्छा
अन,"मोह, झाड़, पठ, भक्ष","मोहन, झाड़न, पठन, भक्षण"
आई,"सुन, लड़, चढ़","सुनाई, लड़ाई, चढ़ाई"
आन,"थक, चढ़, पठ","थकान, चढ़ान, पठान"
आव,"बह, चढ़, खिंच, बच","बहाव, चढ़ाव, खिंचाव, बचाव"
आवट,"सज, लिख, मिल","सजावट, लिखावट, मिलावट"
आहट,"चिल्ला, गुर्रा, घबरा","चिल्लाहट, गुर्राहट, घबराहट"
आवा,"छल, दिख, चढ़","छलावा, दिखावा, चढ़ावा"
ई,"हँस, बोल, घुड़, रेत, फाँस","हँसी, बोली, घुड़की, रेती, फाँसी"
आ,"झूल, ठेल, घेर, भूल","झूला, ठेला, घेरा, भूला"
ऊ,"झाड़, आड़, उतार","झाड़ू, आड़ू, उतारू"
न,"बंध, बेल, झाड़","बंधन, बेलन, झाड़न"
नी,"चट, धौंक, मथ","चटनी, धौंकनी, मथनी"
औटी,कस,कसौटी
इया,"बढ़, घट, जड़","बढ़िया, घटिया, जड़िया"
अक,"पाठ, धाव, सहाय, पाल","पाठक, धावक, सहायक, पालक"
ऐया,"चढ़, रख, लूट, खेव","चढ़ैया, रखैया, लुटैया, खेवैया"
,,
(घ),,
कृत्-प्रत्यय,धातु,विशेषण
क्त,भू,भूत
क्त,मद्,मत्त
क्त (न),खिद्,खित्र
क्त (ण),जृ,जीर्ण
मान,विद्,विद्यमान
अनीय (संस्कृत),दृश्,दर्शनीय
य (संस्कृत),दा,देय
य (संस्कृत),पूज्,पूज्य
आऊ (हिंदी),"चल, बिक, टिक","चलाऊ, बिकाऊ, टिकाऊ"
आका (हिंदी),"लड़, धम, कड़","लड़ाका, धमाका, कड़ाका"
आड़ी (हिंदी),"खेल, कब, आगे, पीछे","खिलाड़ी, कबाड़ी, अगाड़ी, पिछाड़ी"
आकू,"पढ़, लड़","पढ़ाकू, लड़ाकू"
आलू/आलु,"झगड़ा, दया, कृपा","झगड़ालू, दयालु, कृपालु"
एरा,"लूट, काम","लुटेरा, कमेरा"
इयल,"सड़, अड़, मर","सड़ियल, अड़ियल, मरियल"
ऊ,"डाका, खा, चाल","डाकू, खाऊ, चालू"
,,
(i)कर्तृवाचक कृत्-प्रत्यय,,
प्रत्यय,धातु,कृदंत-रूप
आऊ,टिक,टिकाऊ
आक,तैर,तैराक
आका,लड़,लड़का
आड़ी,खेल,खिलाड़ी
आलू,झगड़,झगड़ालू
इया,बढ़,बढ़िया
इयल,अड़,अड़ियल
इयल,मर,मरियल
ऐत,लड़,लड़ैत
ऐया,बच,बचैया
ओड़,हँस,हँसोड़
ओड़ा,भाग,भगोड़ा
अक्कड़,पी,पिअक्कड़
वन,सुहा,सुहावन
वाला,पढ़,पढ़नेवाला
वैया,गा,गवैया
सार,मिल,मिलनसार
हार,रख,राखनहार
हारा,रो,रोवनहारा
,,
(ii)कर्मवाचक कृत्-प्रत्यय,,
ना,"ओढ़, पढ़","ओढ़ना, पढ़ना"
नी,"छल, ओढ़, मथ","छलनी, ओढ़नी, मथनी"
औना,"खेला, बिछ","खिलौना, बिछौना"
,,
(iii)करणवाचक कृत्-प्रत्यय,,
प्रत्यय,धातु,कृदंत-रूप
आ,झूल,झूला
आनी,मथ,मथानी
ई,रेत,रेती
